epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.19613,0,1,1,0,0.000662551,0.000662551,0.000662551
2,9.27254,0,1,1,0,0.0013029,0.0013029,0.0013029
3,13.2658,0,1,1,0,0.00191685,0.00191685,0.00191685
4,17.2192,0,1,1,0,0.0018812,0.0018812,0.0018812
5,21.2021,0,1,1,0,0.0018416,0.0018416,0.0018416
6,25.1441,0,1,1,0,0.001802,0.001802,0.001802
7,29.0978,0,1,1,0,0.0017624,0.0017624,0.0017624
8,33.0536,0,1,1,0,0.0017228,0.0017228,0.0017228
9,37.0051,0,1,1,0,0.0016832,0.0016832,0.0016832
10,40.9589,0,1,1,0,0.0016436,0.0016436,0.0016436
11,44.8926,0,1,1,0,0.001604,0.001604,0.001604
12,48.8581,0,1,1,0,0.0015644,0.0015644,0.0015644
13,52.8165,0,1,1,0,0.0015248,0.0015248,0.0015248
14,56.7641,0,1,1,0,0.0014852,0.0014852,0.0014852
15,60.9592,0,1,1,0,0.0014456,0.0014456,0.0014456
16,65.0802,0,1,1,0,0.001406,0.001406,0.001406
17,70.4315,0,1,1,0,0.0013664,0.0013664,0.0013664
18,75.2167,0,1,1,0,0.0013268,0.0013268,0.0013268
19,79.5983,0,1,1,0,0.0012872,0.0012872,0.0012872
20,85.091,0,1,1,0,0.0012476,0.0012476,0.0012476
21,89.1125,0,1,1,0,0.001208,0.001208,0.001208
22,93.4859,0,1,1,0,0.0011684,0.0011684,0.0011684
23,97.4831,0,1,1,0,0.0011288,0.0011288,0.0011288
24,101.424,0,1,1,0,0.0010892,0.0010892,0.0010892
25,105.351,0,1,1,0,0.0010496,0.0010496,0.0010496
26,109.281,0,1,1,0,0.00101,0.00101,0.00101
27,113.198,0,1,1,0,0.0009704,0.0009704,0.0009704
28,117.132,0,1,1,0,0.0009308,0.0009308,0.0009308
29,121.08,0,1,1,0,0.0008912,0.0008912,0.0008912
30,125.028,0,1,1,0,0.0008516,0.0008516,0.0008516
31,128.994,0,1,1,0,0.000812,0.000812,0.000812
32,132.975,0,1,1,0,0.0007724,0.0007724,0.0007724
33,136.938,0,1,1,0,0.0007328,0.0007328,0.0007328
34,140.891,0,1,1,0,0.0006932,0.0006932,0.0006932
35,144.835,0,1,1,0,0.0006536,0.0006536,0.0006536
36,148.782,0,1,1,0,0.000614,0.000614,0.000614
37,152.735,0,1,1,0,0.0005744,0.0005744,0.0005744
38,156.689,0,1,1,0,0.0005348,0.0005348,0.0005348
39,160.633,0,1,1,0,0.0004952,0.0004952,0.0004952
40,164.573,0,1,1,0,0.0004556,0.0004556,0.0004556
41,168.903,0,1,1,0,0.000416,0.000416,0.000416
42,172.858,0,1,1,0,0.0003764,0.0003764,0.0003764
43,176.819,0,1,1,0,0.0003368,0.0003368,0.0003368
44,180.764,0,1,1,0,0.0002972,0.0002972,0.0002972
45,184.718,0,1,1,0,0.0002576,0.0002576,0.0002576
46,188.67,0,1,1,0,0.000218,0.000218,0.000218
47,192.626,0,1,1,0,0.0001784,0.0001784,0.0001784
48,196.575,0,1,1,0,0.0001388,0.0001388,0.0001388
49,200.517,0,1,1,0,9.92e-05,9.92e-05,9.92e-05
50,204.458,0,1,1,0,5.96e-05,5.96e-05,5.96e-05
