epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,78.4757,0.05958,0.99648,1,0.01076,0.00333234,0.00333234,0.00333234
2,151.704,0.01895,0.99663,1,0.00979,0.00653369,0.00653369,0.00653369
3,221.141,0.01995,0.99663,1,0.01082,0.00960304,0.00960304,0.00960304
4,281.969,0.02145,0.99581,1,0.0109,0.009406,0.009406,0.009406
5,352.497,0.01507,0.99611,1,0.00869,0.009208,0.009208,0.009208
6,393.634,0.01429,0.99701,1,0.00694,0.00901,0.00901,0.00901
7,429.4,0.01207,0.99611,1,0.00754,0.008812,0.008812,0.008812
8,470.619,0.01379,0.99701,1,0.0063,0.008614,0.008614,0.008614
9,510.082,0.01261,0.99701,1,0.00676,0.008416,0.008416,0.008416
10,547.242,0.0128,0.99641,1,0.0076,0.008218,0.008218,0.008218
11,584.249,0.01547,0.99663,1,0.00681,0.00802,0.00802,0.00802
12,621.621,0.01435,0.99656,1,0.00697,0.007822,0.007822,0.007822
13,658.872,0.0138,0.99656,1,0.00766,0.007624,0.007624,0.007624
14,696.574,0.01558,0.99618,1,0.00823,0.007426,0.007426,0.007426
15,734.82,0.01343,0.99663,1,0.00783,0.007228,0.007228,0.007228
16,771.084,0.01285,0.99671,1,0.00772,0.00703,0.00703,0.00703
17,807.197,0.01293,0.99641,1,0.00762,0.006832,0.006832,0.006832
18,843.409,0.01074,0.99648,1,0.0077,0.006634,0.006634,0.006634
19,879.454,0.01255,0.99663,1,0.00762,0.006436,0.006436,0.006436
20,919.653,0.01235,0.99656,1,0.00759,0.006238,0.006238,0.006238
21,962.054,0.01239,0.99663,1,0.00758,0.00604,0.00604,0.00604
22,1000.43,0.01194,0.99663,1,0.00754,0.005842,0.005842,0.005842
23,1038.81,0.01352,0.99641,1,0.00762,0.005644,0.005644,0.005644
24,1077.34,0.0129,0.99626,1,0.00768,0.005446,0.005446,0.005446
25,1116.1,0.01211,0.99626,1,0.00775,0.005248,0.005248,0.005248
26,1154.8,0.01055,0.99626,1,0.00773,0.00505,0.00505,0.00505
27,1193.43,0.01388,0.99626,1,0.00773,0.004852,0.004852,0.004852
28,1231.98,0.01067,0.99633,1,0.00778,0.004654,0.004654,0.004654
29,1270.81,0.01109,0.99641,1,0.00786,0.004456,0.004456,0.004456
30,1309.43,0.00934,0.99641,1,0.00799,0.004258,0.004258,0.004258
31,1348.18,0.00939,0.99648,1,0.00802,0.00406,0.00406,0.00406
32,1388.01,0.01008,0.99626,1,0.00812,0.003862,0.003862,0.003862
33,1426.9,0.0092,0.99633,1,0.00821,0.003664,0.003664,0.003664
34,1466.01,0.0092,0.99626,1,0.0084,0.003466,0.003466,0.003466
35,1505.42,0.00794,0.99633,1,0.00821,0.003268,0.003268,0.003268
36,1544.9,0.00785,0.99633,1,0.00813,0.00307,0.00307,0.00307
37,1586.14,0.00782,0.99633,1,0.00809,0.002872,0.002872,0.002872
38,1627.2,0.00647,0.99633,1,0.00801,0.002674,0.002674,0.002674
39,1666.04,0.00638,0.99641,1,0.00794,0.002476,0.002476,0.002476
40,1705.28,0.00612,0.99648,1,0.00784,0.002278,0.002278,0.002278
41,1744.9,0.00565,0.99648,1,0.00778,0.00208,0.00208,0.00208
42,1786.36,0.00525,0.99656,1,0.00776,0.001882,0.001882,0.001882
43,1830.68,0.00533,0.99663,1,0.00761,0.001684,0.001684,0.001684
44,1872.01,0.00522,0.99671,1,0.00751,0.001486,0.001486,0.001486
45,1912.63,0.00439,0.99671,1,0.00738,0.001288,0.001288,0.001288
46,1951.63,0.00432,0.99678,1,0.0073,0.00109,0.00109,0.00109
47,1990.57,0.00442,0.99678,1,0.00717,0.000892,0.000892,0.000892
48,2029.48,0.00361,0.99671,1,0.00716,0.000694,0.000694,0.000694
49,2068.09,0.00384,0.99678,1,0.00689,0.000496,0.000496,0.000496
50,2107.02,0.00409,0.99686,1,0.00671,0.000298,0.000298,0.000298
